id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
44085,Villa in Addaia great sea view and fun pool,193043,Manuela,,Es Mercadal,40.00946,4.20026,Entire home/apt,99,5,14,2018-08-25,0.16,4,182
102558,appartment in Menorca -Cala Galdana,536023,Yolanda,,Ciutadella de Menorca,39.94273,3.96278,Entire home/apt,50,1,29,2019-08-03,0.29,1,92
148138,APARTMENT TO RENT IN CIUTADELLA,715601,Jose Luis,,Ciutadella de Menorca,40.00179,3.79968,Entire home/apt,49,1,16,2019-09-09,0.21,3,363
245722,Son Magnà. Charm and privacy in traditional villa,1289210,Miguel,,Alaior,39.89677,4.14912,Private room,200,2,19,2019-07-20,0.30,1,337
285865,Apartment sea view + swimming pool,1487752,Roberto,,Ciutadella de Menorca,40.00088,3.79955,Entire home/apt,69,4,66,2019-09-15,0.75,1,363
294398,Son Esquella - Charming Menorca,312145,Gabriela,,Alaior,39.89089,4.11607,Entire home/apt,450,3,12,2019-09-08,0.23,2,356
295705,The Most Perfect Villa in Menorca! ,312145,Gabriela,,Alaior,39.89183,4.11577,Entire home/apt,1250,2,21,2019-09-16,0.24,2,332
325641,BEAUTIFUL VILLA IN A VIRGIN BEACH,1492975,Pili,,Mahón,39.8363,4.19367,Entire home/apt,214,4,31,2019-09-13,0.41,1,1
334376,Nice traditional house in Menorca,1913268,Familia,,Ciutadella de Menorca,40.00506,3.83711,Entire home/apt,100,3,32,2019-09-06,0.35,6,180
357026,Coqueto apartamento Son Bou Menorca,1740878,Emilio,,Alaior,39.90397,4.07033,Entire home/apt,75,5,23,2019-09-25,0.26,1,280
358378,MENORCA APARTMENT SON BOU BEACH,1807049,Miguel Angel,,Alaior,39.90178,4.07674,Entire home/apt,40,5,29,2019-09-16,0.47,2,176
366358,Wonderful Farm in 500 acre Estate with Sea Access,1849697,V. Alessandro,,Ciutadella de Menorca,40.03523,3.96514,Entire home/apt,495,3,33,2019-04-28,0.37,1,302
366636,apartament en Son Bou Menorca Spain,1851146,Carmen,,Alaior,39.90258,4.07567,Entire home/apt,100,5,15,2019-09-03,0.20,1,347
370676,Traditional Family house (historical Ciutadella),1868061,Olga,,Ciutadella de Menorca,40.00286,3.8374,Entire home/apt,400,2,4,2018-07-22,0.25,1,349
382144,*Lovely cottage in natural setting*,1913268,Familia,,Ciutadella de Menorca,40.02229,3.94258,Entire home/apt,60,3,62,2019-09-13,0.68,6,180
386067,NEW APARTMENT NEXT TO THE BEACH,1932691,David,,Alaior,39.90435,4.07296,Entire home/apt,70,7,38,2019-09-15,0.44,1,365
394135,Mediterranean Garden Villa & Pool,1968952,Anne,,Ciutadella de Menorca,40.01474,3.84365,Entire home/apt,160,7,73,2019-08-24,0.82,2,193
403664,amazing attic seafront in Ciudadela,1913268,Familia,,Ciutadella de Menorca,39.99328,3.8312,Entire home/apt,142,3,80,2019-09-11,0.91,6,164
432413,Luxury refurbished farmhouse,2150036,Anna,,Sant Lluís,39.83896,4.26244,Private room,75,1,50,2019-08-18,0.67,6,240
459265,Best view ever and nice beach very close,193043,Manuela,,Es Mercadal,40.01391,4.19865,Entire home/apt,99,5,10,2018-08-31,0.20,4,132
476724,Acojedor apartamento CALA GALDANA,2362933,Rosa,,Ciutadella de Menorca,39.9433,3.96275,Entire home/apt,45,5,40,2019-09-22,0.46,1,335
477841,comfortable apartment in Mahon 4,251975,Daniel,,Mahón,39.88699,4.26784,Entire home/apt,100,4,48,2019-09-10,0.56,3,0
494480,NICE AND QUITE APPARTMENT FOR RENT,715601,Jose Luis,,Ciutadella de Menorca,39.99994,3.79722,Entire home/apt,130,1,25,2019-09-17,0.33,3,355
516153,VILLA MENORCA SWIMNGPOOL & SEA VIEW,2541948,Susana,,Mahón,39.89091,4.29592,Entire home/apt,198,15,0,,,1,0
517301,Preciosa casa en el campo menorquín,2546568,Paqui,,Mahón,39.93416,4.24318,Entire home/apt,160,2,40,2019-09-06,0.46,1,134
527985,Villa with pool 150m  from beach,2594436,Alejandro,,Ciutadella de Menorca,39.9689,3.83591,Entire home/apt,120,5,2,2019-07-20,0.15,1,346
549304,Casa Centro Ciutadella Menorca,2700491,Angeles,,Ciutadella de Menorca,40.00272,3.8382,Entire home/apt,101,5,77,2019-09-28,0.89,1,275
580840,Lovely Ciutadella Traditional House,1968952,Anne,,Ciutadella de Menorca,40.00094,3.83733,Entire home/apt,70,5,95,2019-08-27,1.10,2,190
589898,Villa Mercedes. Individual house,2911120,Víctor,,Ciutadella de Menorca,39.9927,3.83084,Entire home/apt,130,7,13,2019-07-27,0.46,1,78
596553,Terrific Couples Getaway in Minorca,2949986,Gabriel Y Beatriz,,Es Mercadal,39.97333,4.15161,Entire home/apt,110,5,64,2019-09-17,0.83,1,177
632651,Preciosa casa en Menorca Son Bou,3147448,DARK STAR SL  Jose,,Alaior,39.90189,4.07419,Entire home/apt,65,5,5,2019-08-26,0.13,1,165
636272,Luxury apartment in Cala `n Bosch,3171398,Esteban,,Ciutadella de Menorca,39.92839,3.83645,Entire home/apt,100,5,11,2019-08-27,0.18,1,265
653926,comfortable apartment in Mahon 2,251975,Daniel,,Mahón,39.88531,4.26567,Entire home/apt,95,3,56,2019-08-18,0.74,3,333
725695,"COUNTRY HOUSE IN MENORCA, SON COSTA",3753883,Agrytur,,Alaior,39.93534,4.13891,Entire home/apt,185,2,28,2019-09-10,0.45,1,313
854050,VILLA SAVANNA CIUTADELLA DE MENORCA,4459815,Antonio,,Ciutadella de Menorca,40.00309,3.80649,Entire home/apt,450,7,9,2019-09-07,0.15,5,295
854051,VILLA SAVANNA Menorca,4459815,Antonio,,Ciutadella de Menorca,40.0025,3.80652,Entire home/apt,450,7,2,2016-09-19,0.03,5,295
864172,Menorca.Nice apartment with views. ,3571207,Gemma,,Es Mercadal,40.05321,4.11007,Entire home/apt,110,7,14,2018-07-18,0.18,1,362
877147,Loft en planta baja junto al puerto de Ciutadella,2914701,Francesc,,Ciutadella de Menorca,40.00094,3.83381,Entire home/apt,99,5,23,2019-09-10,0.31,3,115
877183,Estudio céntrico a un paso del casco antiguo,2914701,Francesc,,Ciutadella de Menorca,39.99795,3.84043,Entire home/apt,66,5,53,2019-09-16,0.69,3,358
920389,"House in the pine forest, Menorca",4690974,Enric,,Sant Lluís,39.83862,4.26048,Entire home/apt,270,3,4,2019-09-08,0.11,3,284
932244,"Camera con bagno privato - ""La rossa""",5013601,Alex,,Es Mercadal,40.00442,4.19521,Private room,57,3,87,2019-09-29,1.17,4,46
932315,"Camera con bagno privato - ""La verde""",5013601,Alex,,Es Mercadal,40.00474,4.19477,Private room,55,3,74,2019-09-23,0.98,4,60
954903,ALQUILO CASA CAMPO CON PISCINA ,5186207,Francisco,,Mahón,39.87657,4.26157,Entire home/apt,247,7,0,,,1,363
958828,MENORCAN ISLAND BEACH APARTMENT,5217925,"Balbisar,",,Es Mercadal,40.0345,4.1647,Entire home/apt,95,3,15,2019-07-28,0.24,1,149
959071,Apartamento con piscina a 50 m mar,5219222,Salustiano,,Ciutadella de Menorca,40.00141,3.80019,Entire home/apt,50,3,44,2019-06-11,0.60,3,245
967834,TOWN HOUSE WITH PRIVATE POOL,5719722,Roser,,Ciutadella de Menorca,39.99804,3.84306,Entire home/apt,113,2,79,2019-09-19,1.08,2,255
976380,Apartamento Binibeca Nou (E),5342587,Willy&Yago,,Sant Lluís,39.8204,4.2472,Entire home/apt,75,3,73,2019-09-24,0.94,3,180
976381,Apartamento Binibeca Nou (P),5342587,Willy&Yago,,Sant Lluís,39.82071,4.24785,Entire home/apt,69,3,62,2019-09-26,1.17,3,148
976386,Apartamento Binibeca Nou (C),5342587,Willy&Yago,,Sant Lluís,39.82108,4.24738,Entire home/apt,55,3,47,2019-09-05,0.89,3,146
994133,White Cottage 6,5460821,Joana,,Ciutadella de Menorca,39.94053,3.96061,Entire home/apt,50,3,45,2019-09-07,0.59,2,165
999469,TRANQUILO APTO DE 2 HAB. EN C BOSCH,715601,Jose Luis,,Ciutadella de Menorca,39.92921,3.83065,Entire home/apt,39,1,8,2019-08-22,0.11,3,365
1029964,Casa Esmeralda A a 100mt dal mare,5667074,Daniele,,Es Mercadal,40.02464,4.18634,Entire home/apt,95,3,27,2019-09-19,0.54,2,365
1035715,Flat in the port of Mahon,5701255,Candelas,,Es Castell,39.88258,4.28443,Entire home/apt,60,4,41,2018-08-31,0.64,1,0
1047898,MENORCA CON ENCANTO Y ESPECIAL,5716562,Carmen,,Ferreries,39.98476,4.00948,Entire home/apt,75,7,40,2019-09-07,0.53,3,358
1051299,Seaside property in Binibeca,5787654,Laura,,Sant Lluís,39.81527,4.24737,Entire home/apt,126,4,15,2019-09-03,0.20,6,362
1052325,Es cucó. Ciutadella. Cap d’Artrutx,5794418,Silvia,,Ciutadella de Menorca,39.9299,3.82455,Entire home/apt,70,4,6,2019-08-24,0.08,2,364
1053577,Apartment for rent only 100m beach,5801428,Cosme,,Ciutadella de Menorca,40.00219,3.79922,Entire home/apt,125,7,13,2019-08-05,0.26,1,329
1054514,Private villa with pool & by sea,5787654,Laura,,Mahón,39.85053,4.17163,Entire home/apt,170,3,3,2018-03-05,0.05,6,55
1094052,...slow and cosy country-house,6010920,Claus + Karina,,Ciutadella de Menorca,39.97646,3.85539,Entire home/apt,97,7,19,2018-08-19,0.25,1,179
1094228,Apartment in Ciutadella de Menorca,6011817,Dolores,,Ciutadella de Menorca,39.99644,3.82953,Entire home/apt,120,7,18,2019-09-17,0.24,2,263
1124485,Calan Blanes-Ciutadella de Menorca,5566855,Albert,,Ciutadella de Menorca,40.00536,3.81379,Entire home/apt,55,4,39,2019-09-07,0.52,1,31
1141365,Wonderful antic Villa.Perfect for family vacation!,6259147,Cristina,,Sant Lluís,39.84229,4.25673,Entire home/apt,360,3,22,2019-09-08,0.29,1,359
1162522,House in the centre of Ciutadella,6367744,Jose Ignacio,,Ciutadella de Menorca,40.00259,3.83603,Entire home/apt,70,1,77,2019-09-20,1.20,1,317
1208231,White Cottage 5,5460821,Joana,,Ciutadella de Menorca,39.9416,3.9601,Entire home/apt,50,4,46,2019-09-17,0.62,2,222
1211972,Sa Blanca. Impresionantes vistas,6653911,Aitor,,Es Mercadal,40.0543,4.05749,Entire home/apt,250,5,5,2019-08-27,0.13,1,358
1229737,casita en primera linea de mar,6708412,Rentals,,Ciutadella de Menorca,39.99995,3.82949,Entire home/apt,100,3,72,2019-09-26,1.94,1,4
1230705,Bajo con piscina y jardin privado,6712383,Marta,,Ciutadella de Menorca,39.92834,3.83228,Entire home/apt,67,5,17,2019-09-20,0.32,1,364
1231968,"Casa con terraza, piscina y paddel",6718553,Mencia,,Ciutadella de Menorca,39.98473,3.83351,Entire home/apt,100,3,20,2019-09-08,0.27,1,357
1241701,"Beautiful villa with private pool, garden & forest",3399123,Eberhard&Aurélie@Es-Flats,,Es Mercadal,39.99825,4.15391,Entire home/apt,360,4,14,2019-08-20,0.27,1,353
1270058,Big beautiful Villa with pool,6912161,"Joseba,",,Es Mercadal,40.02651,4.16603,Entire home/apt,150,7,35,2019-09-18,0.46,1,29
1326812,"Apartment in Cala en Forcat,Menorca",6960307,M Carmen,,Ciutadella de Menorca,39.99856,3.80075,Entire home/apt,200,5,13,2018-07-20,0.25,1,365
1335440,Alquilo habitación exterior.,7146172,Miguel Angel,,Ciutadella de Menorca,39.9967,3.83529,Private room,40,4,60,2019-09-21,0.80,1,325
1348388,Farmhouse whit pool in Menorca,7315793,Maria,,Alaior,39.92186,4.14912,Entire home/apt,106,4,61,2019-09-27,0.82,1,159
1361929,Exclusive apartment with sea views,2847217,Sara,,Ciutadella de Menorca,39.99912,3.79746,Entire home/apt,105,5,38,2017-09-16,0.51,1,0
1384034,Espectacular casa en el centro de la isla.,7492178,Jaume,,Es Mercadal,39.98769,4.09219,Entire home/apt,125,3,6,2018-08-12,0.15,1,0
1437085,ENJOY  MINORCA'S BEACHES,2540372,Antonio,,Ciutadella de Menorca,40.00092,3.83101,Entire home/apt,100,4,2,2019-02-06,0.14,1,329
1441001,CHALET CERCA DE LA PLAYA,7738154,Jose,,Ciutadella de Menorca,39.92807,3.84113,Entire home/apt,100,4,15,2019-08-31,0.23,1,164
1448995, Casa moderna en villa jamaica,7776638,Guillermo,,Es Mercadal,40.03938,4.12157,Entire home/apt,200,6,6,2019-09-07,0.10,1,334
1456834,Apartamento cerca del mar,7813206,Juan Miguel,,Ciutadella de Menorca,40.0009,3.80302,Entire home/apt,35,5,76,2019-09-23,1.19,1,171
1475484,Fonduco Blue,7896642,Anja,,Es Castell,39.88485,4.28054,Entire home/apt,357,7,39,2019-06-23,0.95,3,312
1485806,Casa rural con encanto en San Luis,7925781,Judiht,,Sant Lluís,39.84726,4.26435,Entire home/apt,110,3,79,2019-09-05,1.07,1,365
1495694,PRIVATE POOL. FREE WIFI. SMART TV.VILLA FRANCISCA,7994722,Mateu,,Ciutadella de Menorca,39.98354,3.839,Entire home/apt,310,5,2,2018-07-31,0.08,1,354
1531842,"5 Bed Villa by Beaches, Menorca",8170828,David,,Es Mercadal,40.05009,4.06252,Entire home/apt,112,4,42,2019-08-31,0.64,1,276
1565297,"Na Joanassa, the Endemic House",1982567,Joanassa,,Es Mercadal,40.03285,4.19082,Entire home/apt,145,5,17,2019-08-20,0.33,1,337
