id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32347,Explore Cultural Sights from a Family-Friendly Apartment,139939,Alejandro,Casco Antiguo,San Vicente,37.39468,-6.00183,Entire home/apt,99,2,153,2019-09-26,1.44,1,242
49287,BEAUTIFUL APARTMENT IN SEVILLE,224697,Walter,Casco Antiguo,Feria,37.39855,-5.99365,Entire home/apt,49,3,38,2019-08-18,0.36,1,236
94187,(2) ROOM + PRIVATE BATHROOM. CASA DEL BUEN VIAJE,503692,Margot,Casco Antiguo,San Bartolomé,37.39012,-5.98676,Private room,55,2,75,2019-06-05,0.77,5,354
108236,Sunny apt in heart of seville!!,560040,Pepe,Casco Antiguo,San Vicente,37.39645,-5.99887,Entire home/apt,58,2,141,2019-09-27,1.38,2,97
108568,TERRACE ALAME WIFI PARKING DOWNTOWN,589600,Miguel,Casco Antiguo,Feria,37.39939,-5.99237,Entire home/apt,65,3,80,2019-09-15,0.82,11,152
111140,Quiet&Typical Patio Historic Centre,560040,Pepe,Casco Antiguo,San Vicente,37.39639,-6.00021,Entire home/apt,57,60,50,2019-09-07,0.63,2,0
116703,"Walk to the Cathedral!! ATICO DUPLEX, WIFI.",589600,Miguel,Casco Antiguo,Arenal,37.3868,-5.99666,Entire home/apt,65,3,152,2019-09-13,1.50,11,305
117278,"Walk to the Cathedral!! DUPLEX ARENAL, WIFI.",589600,Miguel,Casco Antiguo,Arenal,37.38595,-5.997,Entire home/apt,60,3,94,2019-09-16,0.94,11,329
120619,"PALACE HOUSE, 30 €,----",606762,Juan,Casco Antiguo,Santa Cruz,37.38814,-5.99399,Private room,30,1,657,2019-09-25,6.47,2,0
131987,SEVILLA CENTER 4 PAX.GREAT REVIEWS 1 BR+WIFI+AC,1535528,Javier,Casco Antiguo,San Vicente,37.39502,-6.00063,Entire home/apt,69,4,219,2019-09-19,2.38,1,200
137080,APARTMENT MORAVIA Historic Center,670391,Cristobal,Casco Antiguo,San Julián,37.39923,-5.98492,Entire home/apt,59,3,102,2019-09-22,1.05,7,331
144918,"Cozy apartment in Triana, Seville",701871,Laura Y José,Triana,Triana Casco Antiguo,37.38222,-5.99989,Entire home/apt,46,2,151,2019-09-26,3.14,1,319
159596,apto lujo 2 D en el Arenal (Sevilla),629861,Alvaro,Casco Antiguo,Arenal,37.38456,-5.99583,Entire home/apt,100,64,4,2018-08-16,0.20,2,37
179617,Suite Giralda Sunny Private Terrace 3 pax,860055,Maria,Casco Antiguo,Santa Cruz,37.38514,-5.99214,Entire home/apt,70,3,130,2019-09-13,1.40,22,299
179629,Bamberg Duplex Private Terrace Old town 5 pax,860055,Maria,Casco Antiguo,Alfalfa,37.38948,-5.99238,Entire home/apt,115,3,140,2019-08-18,1.49,22,228
185356,Macarena Romans Walls 7 pax,860055,Maria,Macarena,"Cruz Roja, Capuchinos",37.4011,-5.98396,Entire home/apt,95,3,95,2019-09-09,0.96,22,293
201209,Esmeralda Apartment - VFT/SE/00620,983968,Jesús,Macarena,Las Avenidas,37.41096,-5.98477,Entire home/apt,60,2,54,2019-05-20,0.57,9,242
207702,"Tirso I, 7 minutes walk from the Cathedral",1022533,Maria,Casco Antiguo,Arenal,37.3889,-5.99823,Entire home/apt,77,3,292,2019-09-17,4.77,1,161
217440,PALACE HOUSE Room center sevilla B,606762,Juan,Casco Antiguo,Santa Cruz,37.3885,-5.99344,Private room,30,1,675,2019-09-29,6.93,2,284
219958,SEVILLA PENHOUSE + SOLARIUM+WIFI,1139894,Enrique,Palmera - Bellavista,Heliópolis,37.35438,-5.98584,Entire home/apt,115,2,104,2019-08-11,1.23,6,223
227905,"HISTORIC ROOM, CENTER OF SEVILLE",1188880,Lola,Casco Antiguo,San Vicente,37.3948,-6.00121,Private room,40,1,70,2019-09-15,0.73,2,78
229403,FANTASTIC LOFT COOL NEIGHBORHOOD,1198187,Oscar,Casco Antiguo,Feria,37.39913,-5.99088,Entire home/apt,35,1,769,2019-09-15,8.05,5,83
253430,Apartment in historic center. WIFI,1330663,Mario,Casco Antiguo,Alfalfa,37.39002,-5.99061,Entire home/apt,50,2,195,2019-09-12,2.04,2,300
266016,"nice loft it the Center, wifi",1391956,Jorge,Nervión,San Bernardo,37.38081,-5.98592,Entire home/apt,65,2,322,2019-09-09,3.46,8,219
272934,"NEAR TOWN HALL PENTHOUSE, WIFI+A/C",1428269,Actua Y Gestiona S.L.,Casco Antiguo,Santa Cruz,37.38807,-5.99184,Entire home/apt,115,1,219,2019-09-24,2.35,6,272
273981,"NEAR TOWN HALL APARTMENT, WIFI+A/C",1428269,Actua Y Gestiona S.L.,Casco Antiguo,Alfalfa,37.39071,-5.99468,Entire home/apt,115,1,98,2019-06-12,1.04,6,247
275148,[302] Nice flat next to the Giralda,1379382,Rincones Con Luz,Casco Antiguo,Santa Cruz,37.38526,-5.99204,Entire home/apt,136,2,36,2019-06-11,0.40,26,343
280885,Colonial Terrace in Giralda 5 pax VFT/SE/01787,860055,Maria,Casco Antiguo,Santa Cruz,37.38676,-5.9921,Entire home/apt,90,3,105,2019-09-11,1.12,22,290
298673,Corral del Coliseo -WiFi - VFT/SE/00432,1539380,Eva María,Casco Antiguo,"Encarnación, Regina",37.39443,-5.99175,Entire home/apt,61,2,355,2019-09-29,3.88,1,291
315971,ROOM WITH A VIEW ON ROOF.,1188880,Lola,Casco Antiguo,San Vicente,37.39493,-5.99899,Private room,36,2,375,2019-09-28,4.06,2,222
321192,Center with free parking - wifi,1643754,Vicente,Nervión,an Roque,37.39179,-5.98271,Entire home/apt,75,3,324,2019-09-25,3.55,1,290
343997,Quiet Light-Filled Apartment in 18th-Century Building,879606,Rafael,Casco Antiguo,Santa Cruz,37.38894,-5.99274,Entire home/apt,68,3,432,2019-09-23,4.76,2,172
366257,Penthouse with¡Large Private Terrac¡Wifi.Triana-Se,1848992,Jose,Triana,Triana Casco Antiguo,37.38657,-6.00551,Entire home/apt,40,2,309,2019-09-25,3.39,1,15
369170,ático dúplex  y terraza en  Centro Sevilla,1862118,Charo,Casco Antiguo,Feria,37.39626,-5.99312,Entire home/apt,120,2,2,2019-07-13,0.48,6,99
369324,HABITACION   CASA CENTRO DE SEVILA,1862118,Charo,Casco Antiguo,Feria,37.39677,-5.9914,Private room,35,5,26,2019-09-01,0.48,6,0
384727,Private Room  in Center of Seville,1920069,Manuela,Casco Antiguo,Arenal,37.38453,-5.99387,Private room,45,1,610,2019-09-26,6.82,2,289
