id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4620,VALENCIA HISTORIC HOUSE  50M BEACH,7093832,Francisca,POBLATS MARITIMS,LA MALVA-ROSA,39.47553,-0.32461,Entire home/apt,150,2,90,2019-09-10,1.00,1,346
45528,Valencia: El Saler Beach and Albufera Lake,202104,Lidia,POBLATS DEL SUD,EL SALER,39.35621,-0.32292,Entire home/apt,100,14,51,2019-08-07,0.65,1,0
48154,beautiful apartment wifi,219476,Toni,LA SAIDIA,MORVEDRE,39.48575,-0.37428,Entire home/apt,45,3,93,2019-09-29,0.85,2,348
55692,Delight in city center,120649,Pilar,CIUTAT VELLA,LA SEU,39.47681,-0.37523,Entire home/apt,100,1,1,2014-11-11,0.02,1,0
95393,Modern and bright Duplex 3 Bedrooms Center Wi-Fi,508042,Carmen,CIUTAT VELLA,EL CARME,39.47787,-0.38142,Entire home/apt,134,1,98,2019-08-10,0.97,6,136
100347,Next to Sorolla train station and Metro Jesús,1451371,Santiago,EXTRAMURS,ARRANCAPINS,39.4607,-0.38347,Private room,20,2,163,2019-09-28,7.41,1,86
102524,"Villa, City, Pool, and Beach!!!!!!",535881,Vicente,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47209,-0.33098,Entire home/apt,400,1,112,2019-08-25,1.17,7,305
103386,"Central 2 Bedrooms, 3/5 pers. Wi-Fi",508042,Carmen,CIUTAT VELLA,EL PILAR,39.47591,-0.38243,Entire home/apt,84,1,13,2019-04-19,0.13,6,224
121035,Casavecquia Bed& nice Breakfast,608292,Javier,CIUTAT VELLA,SANT FRANCESC,39.47059,-0.37501,Private room,41,1,260,2019-09-27,2.58,1,315
129331,Fantastic Studio Apt. Best Location,591197,Elisa,EXTRAMURS,LA ROQUETA,39.46848,-0.38074,Entire home/apt,55,3,75,2019-09-16,0.76,4,265
136378,Old City Charm with Modern Comfort,591197,Elisa,CIUTAT VELLA,EL MERCAT,39.47387,-0.3777,Entire home/apt,75,5,11,2019-08-16,0.11,4,47
137209,CITY ARTS APART.WIFI.BREAKFST.2BEDR,671047,Mari Carmen,CAMINS AL GRAU,LA CREU DEL GRAU,39.46316,-0.34768,Entire home/apt,50,2,80,2019-09-30,0.79,1,299
146771,House near Russafa with WiFi,709516,Paula,QUATRE CARRERES,EN CORTS,39.45624,-0.36809,Private room,32,2,190,2019-08-21,1.93,2,353
147548,"Beautiful apartment,Valencia-Spain VT-32159-V",713025,Violeta,QUATRE CARRERES,MONT-OLIVET,39.46161,-0.3603,Entire home/apt,280,2,66,2019-09-24,0.70,8,60
149715,Valencian Beach  Home for groups & fam 10px,5947,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46609,-0.32673,Entire home/apt,200,2,150,2019-09-29,1.50,2,324
152369,Loft in Barrio del Carmen (Center),644376,Oscar,CIUTAT VELLA,EL CARME,39.47814,-0.38108,Entire home/apt,60,2,80,2019-09-07,0.93,4,0
153375,Modern flat front of science's city,737412,Florence,QUATRE CARRERES,MONT-OLIVET,39.46031,-0.35974,Entire home/apt,20,180,0,,,1,151
165971,★ Architectural touch! ★,791187,Inés,EXTRAMURS,LA ROQUETA,39.46734,-0.38183,Entire home/apt,56,5,292,2019-09-14,2.93,1,107
166315,Lovely Central Market Plaza Apt.,591197,Elisa,CIUTAT VELLA,EL MERCAT,39.47237,-0.37965,Entire home/apt,80,3,30,2019-07-15,0.34,4,6
169284,Apartment near downtown,806645,Maria Jesus,EXTRAMURS,ARRANCAPINS,39.46811,-0.38964,Entire home/apt,30,1,76,2019-09-14,0.99,7,284
182221,Apartments Calatrava City Valencia,1315567,Chiara,CAMINS AL GRAU,LA CREU DEL GRAU,39.46167,-0.34249,Entire home/apt,70,3,4,2019-07-11,0.08,2,346
185398,"Downtown flat, Terrace & WIFI - Just Renovated!",431741,Olga,EXTRAMURS,LA PETXINA,39.47512,-0.3911,Entire home/apt,95,1,119,2019-07-29,1.21,3,37
192674,Modern 2 br in El Carmen -  Parking Available,933504,Anthony,CIUTAT VELLA,EL CARME,39.48034,-0.37912,Entire home/apt,90,3,66,2019-09-07,0.81,4,141
193326,"Sunny balcony room, beach & city",937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47294,-0.32912,Private room,21,1,161,2019-09-22,1.67,2,258
222753,House near City Arts+Wi-fi,709516,Paula,QUATRE CARRERES,EN CORTS,39.4578,-0.36927,Private room,31,2,167,2019-09-24,1.73,2,347
