id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
132068,Great attic+terrace+parking. Beach views. ESS00578,648938,Mikel,Guipuzcoa,Donostia-San Sebastian,43.3252,-1.97209,Entire home/apt,79,1,463,2019-09-25,4.57,1,252
138845,kurtzio flat,677646,Ana,Vizcaya,Bermeo,43.41902,-2.72375,Entire home/apt,45,3,308,2019-08-31,4.17,1,0
142760,Apartment with ocean views,693119,Andre,Vizcaya,Busturia,43.39062,-2.6947,Entire home/apt,91,5,38,2019-08-23,0.38,1,365
223952,Caserío en la Costa Vasca,1040085,Diego,Vizcaya,Ibarrangelu,43.39426,-2.64648,Entire home/apt,150,7,12,2019-08-24,0.14,1,89
263613, Grand  Deluxe  Confortable Duplex,1374224,Xabier,Guipuzcoa,Donostia-San Sebastian,43.32157,-1.97851,Entire home/apt,180,5,23,2019-09-22,0.24,1,82
286084,Habitación independiente con baño privado,1465243,Isabel,Guipuzcoa,Irun,43.33757,-1.81904,Private room,62,2,47,2019-09-08,1.81,1,337
309802,Luxury w/terrace near the beach WIF,1589633,Emy,Guipuzcoa,Donostia-San Sebastian,43.31582,-2.00394,Entire home/apt,195,3,4,2018-04-19,0.06,8,327
309813,Near the beach with terrace WIFI,1589633,Emy,Guipuzcoa,Donostia-San Sebastian,43.31478,-1.98734,Entire home/apt,300,31,12,2018-06-02,0.13,8,365
309828,Modern apt with beach view WIFI.,1589633,Emy,Guipuzcoa,Donostia-San Sebastian,43.31631,-1.98617,Entire home/apt,180,31,32,2017-09-24,0.46,8,0
309830,Gorgeus modern design WIFI Beach,1589633,Emy,Guipuzcoa,Donostia-San Sebastian,43.31679,-1.98624,Private room,250,3,20,2019-09-11,0.25,8,347
327425,Charming apartment 2 blocks Guggenh,1673566,Oiane,Vizcaya,Bilbao,43.2661,-2.93539,Entire home/apt,106,5,43,2019-09-14,0.47,1,348
329695,"By Guggenheim museum. For ""Game of Thrones"" fans",1683082,Gorka,Vizcaya,Plentzia,43.40585,-2.94824,Entire home/apt,180,3,9,2019-09-13,0.61,1,352
341691,rent room for days,1733722,Itziar,Vizcaya,Bilbao,43.26317,-2.94752,Private room,60,2,31,2019-09-29,1.29,1,341
360571,Refurbished 2 bedroom flat Donostia,1823300,Jon & Manex,Guipuzcoa,Donostia-San Sebastian,43.30453,-1.97554,Entire home/apt,150,4,27,2019-09-18,0.66,7,336
376823,"Elegant palace with a privat foret,",1716909,Joxeanjel,Guipuzcoa,Oiartzun,43.2971,-1.86289,Entire home/apt,800,7,0,,,1,364
386301,Confortable next to surfing beach ,1933529,Ainhoa,Guipuzcoa,Donostia-San Sebastian,43.32412,-1.97071,Entire home/apt,100,2,225,2019-09-23,2.95,2,266
393715,Apartamento en Costa Vasca,1968496,Concha,Guipuzcoa,Mutriku,43.3078,-2.38691,Entire home/apt,65,2,70,2019-09-28,0.80,2,354
404270,old part San Sebastian single room,2015934,Jon,Guipuzcoa,Donostia-San Sebastian,43.32442,-1.98384,Private room,70,15,8,2017-07-25,0.13,4,91
417854,Double room in Comfy & spacious apt,1823300,Jon & Manex,Guipuzcoa,Donostia-San Sebastian,43.3053,-1.98,Private room,80,2,47,2019-07-13,0.53,7,336
