id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14551,Cozy & Colorful by Nature (August full house),57237,Mun,,Girona,41.9965,2.83646,Private room,46,2,31,2019-08-24,0.28,1,337
35801,Can Torras Farmhouse Studio Suite,153805,Karen,,Quart,41.95395,2.89703,Private room,90,1,55,2019-08-30,0.55,4,182
41342,Beachfront Tamariua (Costa Brava),180072,Marisa,,El Port de la Selva,42.34701,3.20406,Entire home/apt,120,7,9,2019-08-24,0.12,1,87
45398,Begur - House - Costa Brava,201228,Oscar,,Begur,41.95568,3.20892,Entire home/apt,80,1,201,2019-09-29,1.89,2,349
45400,Begur - Loft - Costa Brava - SPAIN,201228,Oscar,,Begur,41.95577,3.21096,Entire home/apt,65,1,261,2019-09-27,2.45,2,322
48764,18th C Stone House near Costa Brava,220145,Dick And Ann,,Torroella de Fluvià,42.17605,3.03974,Entire home/apt,90,7,26,2019-08-03,0.26,1,115
93343,Alquiler de casa en La Costa Brava cerca de playa,477826,Francisco,,L'Escala,42.10364,3.14972,Entire home/apt,99,2,0,,,3,0
101580,Big house in PARADISE,532063,Xavier,,Lloret de Mar,41.70656,2.89015,Entire home/apt,650,3,19,2019-09-15,0.67,1,179
106704,Casa rural cerca de la playa,553059,Laura,,Llagostera,41.83631,2.937,Entire home/apt,220,2,15,2019-08-30,0.15,6,352
121666,Costa brava sun and becah,611063,Alicia,,Torroella de Montgrí,42.00877,3.18954,Entire home/apt,67,15,24,2019-09-18,0.32,1,328
121962,Amplia masia cerca del mar,553059,Laura,,Llagostera,41.84104,2.94811,Entire home/apt,490,2,17,2019-08-05,0.21,6,328
122273,Hermosa casa cerca de la playa,553059,Laura,,Llagostera,41.84102,2.95118,Entire home/apt,110,2,19,2019-07-13,0.21,6,365
130159,"Floor comfortable  in Blanes,magnif",632158,Francisco,,Blanes,41.66511,2.78287,Entire home/apt,92,6,25,2018-12-26,0.25,1,333
131374,"Charming house in Costa Brava, near Girona",646551,Jesús,,Riudarenes,41.82069,2.71764,Entire home/apt,188,2,6,2018-12-09,0.10,1,365
133352,MASÍA CATALANA SXVII EN COSTA BRAVA,655075,Clara,,Riudarenes,41.83019,2.664,Entire home/apt,390,3,11,2019-08-24,0.15,1,242
154339,Casa Lloret y Mar • Holiday House rent near beach,2552,Barbara,,Lloret de Mar,41.7403,2.81844,Entire home/apt,95,3,4,2019-08-29,0.04,1,334
157327,House in Llofriu (Costa Brava),755634,Alvaro,,Forallac,41.94531,3.11247,Entire home/apt,643,7,1,2015-08-18,0.02,1,362
168832,Villa with pool - Emporda / Girona - HUTG-026514,804674,Jordi,,Saus,42.12516,2.93539,Entire home/apt,65,5,38,2019-08-31,0.51,1,0
179220,"Costa Brava, 50 m from beach 1",823626,"Pisos Costa Brava (A Family - Ana,",,Calonge,41.84794,3.10483,Entire home/apt,74,3,14,2019-08-24,0.14,9,102
199994,Nice central apartment with parking,977358,Carme,,Cadaqués,42.28834,3.28159,Entire home/apt,55,2,263,2019-09-27,2.71,2,161
212386,Old restored barn in quiet village,1090843,Roger,,Esponellà,42.16954,2.78309,Entire home/apt,120,2,74,2019-09-08,0.84,1,364
236739,VIVALIDAYS REMEI,1241291,Mei,,Lloret de Mar,41.69322,2.82221,Entire home/apt,49,1,9,2019-07-29,0.11,32,1
254100,Stone villa Costa Brava,1205693,Ester,,Ventalló,42.14737,3.02763,Entire home/apt,80,7,4,2017-08-26,0.05,1,365
262941,Penthouse in front of the sea-210M2,1379849,Macu,,Palafrugell,41.91841,3.21439,Entire home/apt,350,4,31,2019-09-17,0.41,1,330
265647,Canigó (Can Llobet)  PG-455,1393119,Xavi,,Capmany,42.37398,2.9208,Entire home/apt,175,7,8,2017-09-03,0.11,8,281
273037,cal ros,1428767,Joelle,,Palafrugell,41.91128,3.15674,Entire home/apt,80,2,63,2019-08-23,0.73,1,365
280968,Spend quiet vacation near the sea,1455476,Joe,,Palamós,41.85922,3.14773,Entire home/apt,60,2,52,2019-09-25,0.61,1,357
285455,"COSTA BRAVA, swim pool, 3 minuts sea,Lloret Center",1484218,Jordi,,Lloret de Mar,41.70803,2.86996,Entire home/apt,99,3,0,,,1,0
285968,Quiet times by the riverside,1488322,David,,Girona,41.98656,2.82425,Entire home/apt,55,3,209,2019-09-14,2.42,2,127
296563,"Costa Brava, 50 m beach - B1",823626,"Pisos Costa Brava (A Family - Ana,",,Calonge,41.84711,3.10563,Entire home/apt,74,3,2,2015-08-15,0.04,9,101
297454,"Flat Costa Brava, 400m to beach 1",823626,"Pisos Costa Brava (A Family - Ana,",,Calonge,41.84573,3.09544,Entire home/apt,91,3,0,,,9,2
304363,"Bright, Riverside Apartment No 4",153805,Karen,,Girona,41.99117,2.82355,Entire home/apt,80,2,63,2019-09-14,0.71,4,248
323402,"Villa, 1800 m from city center, superb sea views.",1554685,Geny,,Lloret de Mar,41.71255,2.85571,Entire home/apt,850,2,0,,,1,347
323679,Marina Costa Brava - view on canal,1552289,Julien,,Castelló d'Empúries,42.24768,3.1252,Entire home/apt,55,14,7,2018-08-18,0.08,1,244
336151,"Girona, Spain -Can Bici: Sleeps 4-5",1711073,Marty,,Girona,41.97304,2.83103,Entire home/apt,75,2,25,2019-08-19,0.47,1,354
342502,APARTAMENTO EN PARQUE NATURAL,1738154,Lourdes,,Viladrau,41.84793,2.39315,Entire home/apt,95,7,0,,,1,358
349360,Quiet apartment in Girona,725885,Oriol,,Girona,41.98906,2.83039,Entire home/apt,69,3,102,2019-09-20,1.16,1,231
359056,Casa rural  Empordà 7 people,1817196,Anna,,Torroella de Montgrí,42.07944,3.11781,Entire home/apt,150,2,5,2015-08-09,0.07,4,340
378198,BEAUTIFUL HOUSE Sea Views in TOSSA,1298586,Kristjan Y Ana,,Tossa de Mar,41.71706,2.92897,Entire home/apt,120,2,24,2019-08-25,0.31,155,74
384326,Between Girona and Costa Brava.,1924064,Emili,,Cassà de la Selva,41.88737,2.88054,Private room,47,1,31,2019-08-07,0.36,1,290
398377,CAMA EN UNA CASA DE LA COSTA BRAVA,1989406,Mari,,Begur,41.95506,3.20566,Private room,55,1,204,2019-09-10,2.27,3,15
398498,"Cap Bonifaci Vela, CanyellesPetites",1990392,Enric,,Roses,42.24432,3.1997,Entire home/apt,193,7,9,2019-08-17,0.10,3,173
401885,"CADAQUÉS (GIRONA). Casa ""Es Poal"" ",2005696,Nieves,,Cadaqués,42.28988,3.28225,Entire home/apt,260,4,16,2019-08-17,0.21,8,361
406276,CADAQUÉS (Girona). Casa “HORTA I”,2005696,Nieves,,Cadaqués,42.28955,3.2779,Entire home/apt,80,3,24,2019-08-27,0.32,8,365
406360,CADAQUÉS (GIRONA). LOFT “HORTA III”,2005696,Nieves,,Cadaqués,42.28822,3.2822,Entire home/apt,63,3,58,2019-09-16,0.77,8,365
406377,CADAQUÉS (GIRONA). LOFT “HORTA IV”,2005696,Nieves,,Cadaqués,42.28982,3.28278,Entire home/apt,68,3,57,2019-09-01,0.65,8,365
406398,CASA “HORTA V”. CADAQUÉS,2005696,Nieves,,Cadaqués,42.28862,3.2818,Entire home/apt,90,3,18,2019-08-24,0.20,8,362
406418,CADAQUÉS (GIRONA). CASA “HORTA VI”,2005696,Nieves,,Cadaqués,42.28855,3.2807,Entire home/apt,97,2,51,2019-08-26,0.58,8,365
406438,CADAQUÉS (GIRONA). MIRANDA DRETA,2005696,Nieves,,Cadaqués,42.2886,3.28092,Entire home/apt,95,3,14,2019-08-19,0.19,8,365
419252,Near Beaches: Spacious Medieval Village Home,1030877,Kristen,,"Cruïlles, Monells i Sant Sadurní de l'Heura",41.95508,3.01053,Entire home/apt,121,3,32,2019-08-14,0.37,2,231
424026,Attractive apartment in Costa Brava,1298586,Kristjan Y Ana,,Tossa de Mar,41.71995,2.93058,Entire home/apt,52,2,21,2019-09-24,0.33,155,80
430560,"beach-house near Palamós,CostaBrava",2138728,Jordi,,Palamós,41.85454,3.14153,Entire home/apt,170,7,13,2015-07-26,0.15,1,364
434435,"Spain,Costa Brava on the beach",108394,Olga,,Calonge,41.83275,3.08584,Entire home/apt,85,5,48,2019-08-16,0.55,1,192
438243,Beautiful house in Empordà Girona,2176453,Esther,,Maçanet de Cabrenys,42.38423,2.74583,Entire home/apt,325,2,5,2019-04-28,0.12,1,356
438245,"Apartment 4 pax, 150 m from Sea",2176194,Roger,,L'Escala,42.12189,3.13551,Entire home/apt,50,4,53,2019-09-16,0.61,1,346
440360,STAY AND DISCOVER THIS PARADISE,2188004,Hotel Rural,,La Cellera de Ter,41.98728,2.61517,Private room,79,1,0,,,5,306
443464,House for group St Jaume de Llierca,1835625,Xaro I Cesc,,Sant Jaume de Llierca,42.21376,2.60929,Entire home/apt,120,2,21,2019-08-05,0.84,1,189
455622,Llança - Cataluña - family holidays,2264291,Régis,,Llançà,42.36728,3.16348,Entire home/apt,45,3,42,2019-09-08,0.48,1,89
457966,Estudio a 100m del mar,2276585,Nuria,,Palamós,41.85023,3.1294,Entire home/apt,40,7,72,2019-09-03,0.82,1,358
459611,Sea view apartment with big terrace,2281859,Gary,,Sant Feliu de Guíxols,41.79393,3.02312,Entire home/apt,67,2,55,2019-08-25,0.63,1,90
465315,Nice apartment next to the beach ,2311613,Anna,,Lloret de Mar,41.69377,2.82544,Entire home/apt,60,3,133,2019-09-14,1.53,2,258
473567,APARTAMENT PETIT. AMBIENT TRANQUIL.,2347920,Mireia,,Tossa de Mar,41.72861,2.92876,Entire home/apt,70,4,10,2019-08-27,0.39,1,334
474240,House in Spanish medieval village,1990392,Enric,,Forallac,41.97862,3.09063,Entire home/apt,110,2,14,2019-08-31,0.28,3,364
474284,"Cap Bonifaci Barca, beach @ 20 m",1990392,Enric,,Roses,42.2443,3.19868,Entire home/apt,229,7,5,2019-08-10,0.07,3,173
