id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
100831,HOUSE IN MALLORCA - WiFi(ET-3045),529151,Miguel,,Santa Margalida,39.76347,3.16255,Entire home/apt,155,7,105,2019-09-22,1.05,1,307
105891,VILLAGE HOUSE WITH POOL: IDEAL FOR FAMILIES,549192,Bartomeu,,Maria de la Salut,39.66044,3.07165,Entire home/apt,90,7,14,2019-09-03,0.16,2,240
106833,Villa with a big pool in Mallorca,551974,Xisco,,Sant Llorenç des Cardassar,39.616,3.30121,Entire home/apt,200,5,9,2018-08-13,0.10,1,351
130669,Room great apartment,643065,Nick,,Palma de Mallorca,39.56478,2.60333,Private room,110,2,0,,,3,362
136822,"Double room in Palma cent, old city",669594,Adam,,Palma de Mallorca,39.57286,2.65547,Private room,40,5,202,2018-10-31,2.02,1,0
158925,"Casa M, a must in Majorca south",673756,Marie,,Campos,39.39661,3.08728,Private room,120,3,42,2019-09-07,0.47,3,270
159218,Farmhouse in Nature -ET-3025,763897,Gabriel,,Selva,39.73689,2.89745,Entire home/apt,75,3,246,2019-09-15,2.51,1,230
160482,Lovely house with stunning views,768840,Marga,,Esporles,39.65414,2.62546,Entire home/apt,175,4,61,2019-09-02,0.62,1,150
164185,Heart of Palma-Room with Ensuite Bath,788123,Maria,,Palma de Mallorca,39.57302,2.64355,Private room,65,5,97,2019-07-23,0.98,1,334
166820,Guests House - excellent sea views,794829,Toni,,Banyalbufar,39.67932,2.50136,Hotel room,35,3,144,2019-09-09,1.45,4,59
168697,"DESIGN Self-catering holiday home, Majorca",804167,Maria,,Sa Pobla,39.77096,3.02845,Entire home/apt,60,2,62,2019-09-23,0.63,2,365
178456,"Apartment 50m from beach in Alcudia Port, MALLORCA",804167,Maria,,Alcúdia,39.82169,3.11569,Entire home/apt,90,4,33,2019-09-25,0.38,2,365
193426,Beautiful apartment near the beach,938373,Javier,,Pollença,39.8973,3.07411,Entire home/apt,100,4,76,2019-09-16,0.85,4,365
210156,ALCUDIA BEACH -MALLORCA HOLIDAYS,1036132,Toni,,Alcúdia,39.83375,3.10918,Entire home/apt,58,5,88,2019-09-26,1.01,1,140
232310,"Charming apartment in Artà, Majorca",1215242,Allan,,Artà,39.69117,3.35112,Entire home/apt,69,4,51,2019-09-14,0.59,1,354
233901,"Chalet es pinaret gran, con piscina",1224723,Marta,,Santanyí,39.30197,3.07504,Entire home/apt,130,4,62,2019-08-01,0.71,1,275
238799,Penthouse in Palma close to Portitxol,1251803,Natasha,,Palma de Mallorca,39.56645,2.66102,Entire home/apt,180,2,72,2019-09-22,0.76,1,361
242962,Stylish apartment close to the sea,1275535,Molly,,Palma de Mallorca,39.56487,2.62569,Entire home/apt,80,30,48,2019-08-01,0.54,1,334
252425,ROOM WITH SOLARIUM+PRIVAT BATH WIFI,1324718,Santi,,Alcúdia,39.85299,3.1142,Private room,40,3,49,2019-09-13,0.57,1,338
255161,RURAL HOUSE BALITX D'AVALL,1340774,Elvira,,Fornalutx,39.81619,2.74088,Entire home/apt,650,3,1,2018-11-19,0.10,1,362
257206,Your Hike and resting room in Mallorca,794829,Toni,,Banyalbufar,39.68769,2.51105,Hotel room,35,3,120,2019-08-27,1.32,4,58
268350,Casa de montaña en Sa Rota de Can Mirai - Caimari,1399635,Guillermo,,Selva,39.7725,2.89919,Entire home/apt,85,6,125,2019-08-30,1.35,1,343
269882,In a scenically breathtaking,1413212,Xesca,,Artà,39.73506,3.27307,Entire home/apt,250,5,8,2018-07-20,0.11,1,303
277300,"Place by Palmanova beach, Mallorca",1448115,Penelope,,Calvià,39.51277,2.53583,Entire home/apt,30,7,0,,,1,87
286091,"House in Mallorca, mountain and sea",675608,Miquel,,Artà,39.69405,3.35178,Entire home/apt,85,4,74,2019-09-21,0.84,1,192
291211,CAN MIQUEL - ETV 7062,1509460,Margarita,,Santa Margalida,39.76451,3.15622,Entire home/apt,120,2,52,2019-09-17,0.69,3,161
321351,modern bright seaview apartment,1645998,Djoke,,Manacor,39.5334,3.28925,Entire home/apt,100,5,2,2015-08-09,0.03,1,341
324256,Villa Rustica Moderna en Es Trenc,1659633,Gabo,,Campos,39.40286,3.02221,Entire home/apt,285,7,3,2019-08-15,0.04,1,87
327107,Romantic House with Private Pool,983151,Sabine Petra,,Llucmajor,39.38224,2.93686,Entire home/apt,100,7,4,2019-08-28,0.06,1,362
328541,Casa 15 - ETV/8687,704889,Balbina,,Palma de Mallorca,39.58069,2.66411,Entire home/apt,110,4,188,2019-09-12,2.05,1,332
335672,"Alcudia, cottage con vistas al mar",1202274,Marilén,,Alcúdia,39.84053,3.15564,Entire home/apt,90,5,135,2019-09-13,1.49,1,343
336938,Loft with Terrace & parking in oldtown,1713807,Carlos,,Palma de Mallorca,39.57076,2.64276,Entire home/apt,135,5,50,2019-09-20,0.57,1,106
337083,APARTMENT WITH BEATIFUL WIEWS,1714270,Javi,,Palma de Mallorca,39.53608,2.71846,Entire home/apt,120,28,76,2019-09-09,0.83,1,233
338838,"Cas Canonge, lovely garden house with pool",1720921,Pep,,Artà,39.69143,3.34856,Entire home/apt,190,4,16,2019-08-31,0.57,3,359
339768,Beautiful apartment in farmhouse,1720921,Pep,,Artà,39.69231,3.34819,Entire home/apt,70,3,14,2019-08-18,0.51,3,340
341274,Canavall  Boutique Penthouse Suite #11,1731210,Canavall,,Palma de Mallorca,39.57205,2.64889,Hotel room,164,3,79,2019-09-19,0.89,11,7
343193,Outskirts Vacation Villa Sa Taulada,1741287,Simon,,Santa Margalida,39.71282,3.14935,Entire home/apt,110,5,31,2019-09-16,0.42,1,199
374120,"Villa for your vacations - Tennis, BBQ, Petanque",1882333,Marc,,Esporles,39.65295,2.62476,Entire home/apt,200,4,81,2019-09-15,1.07,3,349
380469,RAW FOOD in Mallorca,1908848,Beverley,,Calvià,39.53187,2.56503,Private room,80,1,0,,,1,0
382753,Room with private pool for couples,1918238,María,,Esporles,39.67853,2.58276,Entire home/apt,295,5,1,2019-08-15,0.67,4,27
383339,Holiday home rental in Majorca,1918238,María,,Esporles,39.67855,2.58209,Entire home/apt,80,2,14,2018-10-16,0.15,4,356
393387,Casa in Sineu with pool.,1967495,Bel,,Sineu,39.6445,3.01063,Entire home/apt,120,5,90,2019-09-11,1.03,2,228
396659,Beachfront apartment with pool,1982030,Aina M.,,Pollença,39.88845,3.07692,Entire home/apt,100,3,67,2019-09-13,0.74,1,153
398543,Village townhouse apartment Lloseta,1990597,Antonio,,Lloseta,39.71996,2.87057,Private room,130,5,2,2012-11-16,0.02,1,224
